DirectoryPath,Status,NumberOfSlices,MultipleStacks,Contrast,Orientation,NiftiSafe,Is4D,StackCount,TriggerType,DetailedParams,ValidationNote,ContrastBolusAgent,ContrastBolusRoute,ContrastBolusVolume,ContrastBolusTotalDose,ContrastBolusIngredient,ContrastBolusIngredientConcentration,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,SequenceName,AngioFlag,SliceThickness,RepetitionTime,EchoTime,InversionTime,NumberOfAverages,ImagingFrequency,ImagedNucleus,EchoNumbers,MagneticFieldStrength,SpacingBetweenSlices,NumberOfPhaseEncodingSteps,EchoTrainLength,PixelBandwidth,ReconstructionDiameter,FlipAngle,VariableFlipAngleFlag,DiffusionBValue,ImageType,SOPClassUID,Modality,StudyDescription,SeriesDescription,SeriesNumber,AcquisitionNumber
/home/anastasiia/Downloads/Series_Classification/0001/21,check_geometry,1,False,False,cor,False,False,1,None,NaN,NON_CUBICAL_IMAGE/GANTRY_TILT,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\SAT_GEMS\SS_GEMS\FS,2D,NaN,N,35,1710.81,832.512,0,1,63.906533,1H,1,1.5,35,NaN,1,122.07,280,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,21,21,1
/home/anastasiia/Downloads/Series_Classification/0001/22,check_geometry,1,False,False,sag,False,False,1,None,NaN,NON_CUBICAL_IMAGE/GANTRY_TILT,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\SAT_GEMS\SS_GEMS\FS,2D,NaN,N,31,1697.16,834.176,0,1,63.90653,1H,1,1.5,31,NaN,1,122.07,320,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,22,22,1
/home/anastasiia/Downloads/Series_Classification/0001/23,check_geometry,1,False,False,tra,False,False,1,None,NaN,NON_CUBICAL_IMAGE/GANTRY_TILT,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\SAT_GEMS\SS_GEMS\FS,2D,NaN,N,35,1979.39,970.896,0,1,63.90653,1H,1,1.5,35,NaN,1,122.07,260,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,23,23,1
/home/anastasiia/Downloads/Series_Classification/0001/15,check_geometry,15,False,False,cor,False,False,1,None,NaN,TOO_FEW_SLICES,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\SAT_GEMS\SS_GEMS\FILTERED_GEMS\PFP\SP,2D,NaN,N,3,802.244,91.104,0,0.55,63.906519,1H,1,1.5,3,NaN,1,244.141,350,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,15,15,1
/home/anastasiia/Downloads/Series_Classification/0001/18,check_geometry,20,False,False,tra,False,False,1,None,NaN,TOO_FEW_SLICES,NaN,NaN,NaN,NaN,NaN,NaN,EP\SE,NONE,EPI_GEMS\FILTERED_GEMS\ACC_GEMS\PFF,2D,NaN,N,8,3000,70.3,0,1,63.906539,1H,1,1.5,10,NaN,1,1953.12,420,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,18,18,1
/home/anastasiia/Downloads/Series_Classification/0001/19,check_geometry,20,False,False,tra,False,False,1,None,NaN,TOO_FEW_SLICES,NaN,NaN,NaN,NaN,NaN,NaN,EP\SE,NONE,EPI_GEMS\FILTERED_GEMS\ACC_GEMS\PFF,2D,NaN,N,8,3000,70.3,0,1,63.906539,1H,1,1.5,10,NaN,1,1953.12,420,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,19,19,1
/home/anastasiia/Downloads/Series_Classification/0001/16,ok,22,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SP\SK,FAST_GEMS\SAT_GEMS\EDR_GEMS\FILTERED_GEMS\ACC_GEMS\PFP\SP,2D,NaN,N,8,175,2.104,0,0.75,63.906546,1H,1,1.5,10,NaN,1,488.281,370,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,16,16,1
/home/anastasiia/Downloads/Series_Classification/0001/17,ok,22,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SP\SK,FAST_GEMS\SAT_GEMS\EDR_GEMS\FILTERED_GEMS\ACC_GEMS\PFP\SP,2D,NaN,N,8,175,4.352,0,0.75,63.906546,1H,2,1.5,10,NaN,1,488.281,370,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,17,17,1
/home/anastasiia/Downloads/Series_Classification/0001/27,check_geometry,15,False,False,tra,False,False,1,None,NaN,TOO_FEW_SLICES,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\FC_SLICE_AX_GEMS\FC\SAT_GEMS\EDR_GEMS\SS_GEMS\FILTERED_GEMS\PFP\SP,2D,NaN,N,5,810.86,98.784,0,0.55,63.906536,1H,1,1.5,6,NaN,1,244.141,330,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,27,27,1
/home/anastasiia/Downloads/Series_Classification/0001/28,ok,21,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\FC_SLICE_AX_GEMS\FC\SAT_GEMS\EDR_GEMS\TRF_GEMS\FILTERED_GEMS\SP\FS,2D,NaN,N,8,1975,86.336,0,1,63.906543,1H,1,1.5,10,NaN,33,488.281,340,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,28,28,1
/home/anastasiia/Downloads/Series_Classification/0001/5,check_geometry,20,False,False,tra,False,False,1,None,NaN,TOO_FEW_SLICES,NaN,NaN,NaN,NaN,NaN,NaN,SE\IR,SK,FAST_GEMS\FC_SLICE_AX_GEMS\FC\SAT_GEMS\EDR_GEMS\SEQ_GEMS\TRF_GEMS\FT_GEMS\FILTERED_GEMS\ACC_GEMS\SP,2D,NaN,N,8,2350,89.856,149,0.5,63.906546,1H,1,1.5,10,NaN,27,81.3672,340,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,5,5,1
/home/anastasiia/Downloads/Series_Classification/0001/39,ok,52,False,False,cor,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SP\SK,FAST_GEMS\SAT_GEMS\EDR_GEMS\FILTERED_GEMS\VASCTOF_GEMS\FS,3D,NaN,N,8,3.616,1.688,20,1,63.906529,1H,1,1.5,4,NaN,1,488.281,420,12,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,39,39,1
/home/anastasiia/Downloads/Series_Classification/0001/6,check_geometry,20,False,False,tra,False,False,1,None,NaN,TOO_FEW_SLICES,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK,FAST_GEMS\FC_SLICE_AX_GEMS\FC\SAT_GEMS\EDR_GEMS\TRF_GEMS\FILTERED_GEMS\ACC_GEMS\SP\FS,2D,NaN,N,8,2625,83.216,0,1,63.906546,1H,1,1.5,10,NaN,33,244.141,340,90,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,6,6,1
/home/anastasiia/Downloads/Series_Classification/0001/34,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SP\SK,FAST_GEMS\SAT_GEMS\EDR_GEMS\FILTERED_GEMS\VASCTOF_GEMS\PFP\FS,3D,NaN,N,6,3.66,1.716,20,0.75,63.90654,1H,1,1.5,2.99999,NaN,1,488.281,400,12,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,34,34,1
/home/anastasiia/Downloads/Series_Classification/0001/33,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SP\SK,FAST_GEMS\SAT_GEMS\EDR_GEMS\FILTERED_GEMS\VASCTOF_GEMS\PFP\FS,3D,NaN,N,6,3.66,1.716,20,0.75,63.90654,1H,1,1.5,2.99999,NaN,1,488.281,400,12,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,33,33,1
/home/anastasiia/Downloads/Series_Classification/0001/32,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SS\SP\SK,FAST_GEMS\SAT_GEMS\EDR_GEMS\FILTERED_GEMS\VASCTOF_GEMS\PFP\FS,3D,NaN,N,6,3.66,1.716,20,0.75,63.906543,1H,1,1.5,2.99999,NaN,1,488.281,400,12,N,NaN,ORIGINAL_PRIMARY_OTHER,1.2.840.10008.5.1.4.1.1.4,MR,NaN,32,32,1
